"","entire.sentence","mean","ci_lower","ci_upper"
"1","and nowadays people use fed ex, all the time.",0.1944,0.1012,0.3032
"2","well, things cost a lot more.",0.2156,0.11955,0.33201
"3","but, of course, people are trapped  economically",0.2396,0.14359,0.3448
"4","and things do happen severely a few times a year,",0.3192,0.20479,0.4484
"5","but, people are really concerned,",0.3276,0.22239,0.45721
"6","parents arent parents any more.",0.3588,0.22637,0.49121
"7","people dont tend  to knock,",0.398,0.26239,0.53042
"8","and loans dont pay for groceries and stuff.",0.4036,0.2776,0.5545
"9","but, uh people want all of that",0.4056,0.27677,0.53722
"10","and phone books are a large volume of annual trash.",0.4216,0.29475,0.56167
"11","i mean people say that,",0.4288,0.29279,0.57002
"12","well, dogs are real high maintenances,",0.4388,0.28997,0.58282
"13","but kids are just as much of a blessing inside these material things",0.4528,0.3176,0.59082
"14","uh. rollers are so messy.",0.4668,0.33398,0.60362
"15","but, dogs seem  to be always in the mood.",0.4672,0.32559,0.60967
"16","especially in the kind of engineering job  im in , you know, companies dont stay afloat that long,",0.4684,0.3135,0.62203
"17","people are crazy.",0.4764,0.32997,0.63484
"18","but men have  to be convinced  of that.",0.4872,0.34316,0.6336
"19","and, uh, you know, parents come down  to supervise or, whatever.",0.5332,0.40037,0.66763
"20","but cats are good all the time.",0.5624,0.41038,0.7124
"21","i mean, school buses are notorious.",0.5664,0.42719,0.70361
"22","diesels dont require mechanics,",0.578,0.44308,0.71683
"23","that way husbands are crippled,",0.5916,0.45156,0.7356
"24","and interest rates arent none too shallow these days anyway.",0.6112,0.47156,0.74166
"25","i mean winters are kind of a problem",0.634,0.50359,0.77003
"26","uh, uh, blues are okay.",0.6384,0.49518,0.77281
"27","uh, football fans are probably the most fickle people in the world.",0.6456,0.51718,0.77321
"28","well, rabbits are darling.",0.6692,0.54439,0.7844
"29","well, lawyers help  create that.",0.7544,0.6304,0.8572
"30","and technical people know that.",0.7824,0.68718,0.86281
