"workerid","trial_type","valence","question","verb.phrase","entire.sentence","verb","noun.phrase","context","tgrep.id","right_side"
0,"single_generic_trial",0.97,"From very bad to very good, how good is it to have the underlined property?","have many choices","but in today&quotechars overbuilt market, tenants have many choices and are negotiating low rents that squeeze building owners.","have","tenants","###and in suburban boston, developers are bracing for cutbacks in the computer industry, a major user of office space.###many troubled properties haven&quotechart been foreclosed on - and are hard to identify, says albert i. berger, who heads the secaucus, n.j., office of helmsley-spear inc., a real estate brokerage.###owners are voluntarily --- and quietly --- turning over properties to lenders through"" deeds in lieu of foreclosure.""###often, developers stay on as property manager.###real estate analyst lloyd lynford saysthe northeast&quotechars distress is masked - by relatively low vacancy rates.
","18236:21:","VP"
0,"single_generic_trial",0.75,"From very bad to very good, how good is it to have the underlined property?","bring movies on tape","guests bring movies on tape, and show their favorite three-to-five minute segments on the screen that unrolls from the ceiling of the volokhs&quotechar art-nouveau library ""the pleasure dome"".","bring","guests","###i like rather tea, because it is at the end of the day.""###she serves high russian tea, at 5 p.m.###""it&quotechars supposed - to be later but i just moved it.###in los angeles, it exp&quotechars important to catch people just after work.""###she also frequently invites directors, producers, actors, writers and other show business people for"" coffee and clips in the pleasure dome.""
","26193:4:","VP"
0,"single_generic_trial",0.28,"From very bad to very good, how good is it to have the underlined property?","are subjective","under the best circumstances such tests are subjective; when a patient is unconscious, they don&quotechart work at all.","are","such tests","###the probe, which is painless, non-invasive and apparently harmless, employs strong magnetic fields - to induce small whirlwinds of electricity within the brain.###if - positioned over the brain&quotechars motor-control area, the hand-held electromagnets generate nerve impulses that zip down motor nerves and activate muscles, making, say, a finger twitch.###in principle, they will enable doctors to check the body&quotechars motor system the wayan electrician tests a home&quotechars electrical circuits by - running current through them.### until now, we&quotecharve had no objective way of measuring motor function,"" says keith chiappa, a neurologist conducting clinical tests with the devices at boston&quotechars massachusetts general hospital.###"" allwe could do was tell a patient, ` squeeze my fingers as hard as you can?&quotechar or ` raise your arm.&quotechar
","5849:19:","VP"
0,"single_generic_trial",0.65,"From very bad to very good, how good is it to have the underlined property?","are under"" political pressure"" as well","japanese banks are under"" political pressure"" as well, the analyst saidt.","are","japanese banks","###all week there has been much speculation in financial circles in tokyo and abroad about the ministry&quotechars real position.###bank analysts sayministry officials have been growing increasingly concerned during the past few months about japanese banks getting in over their heads.###"" the ministry thinksthe banks don&quotechart know what they are doing, that they have very little idea how to cope with risk,"" said one foreign bank analyst who asked - not to be identified -.###"" the ministry wants - to see the japanese banks pull in their horns"" on leveraged buy-outs, he added.###although some of the japanese banks involved in the first proposed bid for ual bowed out because they found the terms unattractive, observers here say they have a hard time - believing that commercial considerations were the only reason.
","2752:7:","VP"
0,"single_generic_trial",0.39,"From very bad to very good, how good is it to have the underlined property?","hold out","people hold out and try - to get a bargain.""","hold","people","###he says he expects - to sell the collection --- including the controversial rubens ---"" carefully and prudently, just as it was put - together.""###but in art-world parlance, mr. paul&quotechars holdings are"" burnt.""###that is, he is being compelled - to put them on the market too soon, and has already gotten offers that are less than he paid for some of the art works.###"" after a few years, you can argue there has been natural appreciation,"" says susan theran, the publisher of leonard&quotechars annual price index of art auctions.###but quick turnover in artwork is"" like pawning your jewelry --- you end up with 5%.
","42627:4:","VP"
0,"single_generic_trial",0.64,"From very bad to very good, how good is it to have the underlined property?","wait in the reception area - to audition for ""saturday night with connie chung","at 555 w. 57th st. in manhattan, one floor below the offices of"" 6 minutes,"" the most successful prime-time news program ever, actors wait in the reception area - to audition for ""saturday night with connie chung.""","wait","actors","###entertainment shows tend - to cost twice that.###re-enactments have been used - successfully for several seasons on such syndicated ""tabloid tv"" shows as ""a current affair,"" which is produced - by the fox broadcasting co. unit of rupert murdoch&quotechars news corp.###that show, whose host is ms. chung&quotechars husband, maury povich, has a particular penchant for grisly murders and stories having to do with sex --- the robert chambers murder case, the rob lowe tapes, what have you.###gerald stone, the executive producer of ""a current affair,"" says, ""we have opened eyes to being a little less conservative and more imaginative in how to present the news.""###nowhere have eyes been opened - wider than at cbs news.
","12464:14:","VP"
0,"single_generic_trial",0.29,"From very bad to very good, how good is it to have the underlined property?","appeal most to americans who live in the west and are well-educated, affluent and, especially, young","generally, imports appeal most to americans who live in the west and are well-educated, affluent and, especially, young.","appeal","imports","###adults under age 3 like sports cars, luxury cars, convertibles and imports far more than their elders do.###three of every 1 buyers under 3 would prefer - to buy a sports car, compared with just 16% of adults 3 and over, according to the journal survey.###young consumers prefer luxury cars by a 37% to 28% margin --- even though older buyers, because of their incomes, are more likely - to actually purchase a luxury car.###perhaps most striking, 35% of households headed by people aged 18 to 44 have at least one foreign car.###that&quotechars true of only 14% of households headed by someone 6 or older.
","26565:9:","VP"
0,"single_generic_trial",0.32,"From very bad to very good, how good is it to have the underlined property?","don&quotechart like - to have rights issues that don&quotechart have an obvious reason","fund managers don&quotechart like - to have rights issues that don&quotechart have an obvious reason.","do","fund managers","###the united kingdom carrier had planned the issue - to help finance its $75 million purchase of a 15% stake in ual.###but british airways withdrew from the ual labor-management buy-out plan last friday, after the group failed - to get bank financing for its $6.79 billion buy-out.###british airways saidits shareholders accepted only 6.3% of the convertible capital bonds, but that the rest of the issue will be taken - up by underwriters.###analysts said that 6.3% level marked the poorest showing for any major british rights issue since the 1987 global stock market crash.### it is close to - being a record undersubscription,"" said bob bucknell, an analyst with london broker smith new court securities.
","23319:8:","VP"
0,"single_generic_trial",0.19,"From very bad to very good, how good is it to have the underlined property?","are increasingly willing to pay huge sums for such advice","with jury verdicts getting bigger all the time, companies are increasingly willing to pay huge sums for such advice.","are","companies","###in the process, litigation sciences is quietly but inexorably reshaping the world of law.### little known outside the legal world but a powerhouse within, litigation sciences, a unit of saatchi& saatchi plc, employs more than 1 psychologists, sociologists, marketers, graphic artists and technicians.###twenty-one of its workers are ph.d.s.###among other services, the firm provides pre-trial opinion polls, creates profiles of ""ideal"" jurors, sets up mock trials and ""shadow"" juries, coaches lawyers and witnesses, and designs courtroom graphics.###much like their cohorts in political consulting and product marketing, the litigation advisers encourage their clients to play down complex or ambiguous matters, simplify their messages and provide their target audiences with a psychological cravingt to make the desired choice.
","23683:28:","VP"
0,"single_generic_trial",0.57,"From very bad to very good, how good is it to have the underlined property?","take a big cut either way","we also know that the tort system is a lousy way to compensate victims anyway; some win the legal lottery, others get much less and contingency-fee lawyers take a big cut either way.","take","contingency-fee lawyers","###"" public policy favors the development and marketing of beneficial new drugs, even though some risks, perhaps serious ones, might accompany their introduction because drugs can save lives and reduce pain and suffering,"" the unanimous court said t.###the california justices noted that the fear of litigation already forced the only remaining anti-morning-sickness drug, bendectin, off the u.s. market.###this raises the key issue: what to do about people who suffer serious injuries from beneficial drugs?###we now know that holding drug makers liable where there&quotechars no evidence that they or anyone else knew of any risks only means the drugs won&quotechart be available to anyone.###as liability expert peter huber tells us, after the hymowitz case, if any drug maker introduces an anti-miscarriage drug"" it&quotechars time to sell that company&quotechars stock short.""
","2962:35:","VP"
