"workerid","trial_type","question","focus","verb.phrase","verb","noun.phrase","context","entire.sentence","tgrep.id","correct","right_side"
0,"single_generic_trial","From very bad to very good, how good is it to have the underlined property?",0.62,"spend time helping puppies.","spend","people","<br><b>Speaker #1</b>: Does anything interesting happen around you on weekends? <br><b>Speaker #2</b>:","Actually, yes. A few dozen folks meet at the shelter across the street and people spend time helping puppies.",2,"P","P"
0,"single_generic_trial","From very bad to very good, how good is it to have the underlined property?",0,"are senseless.","are","city drivers","<br><b>Speaker #1</b>: Have you thought about biking to work instead?  <br><b>Speaker #2</b>:","I would, but city drivers are senseless.",1,"N","P"
1,"single_generic_trial","From very bad to very good, how good is it to have the underlined property?",0.7,"spend time helping puppies.","spend","people","<br><b>Speaker #1</b>: Does anything interesting happen around you on weekends? <br><b>Speaker #2</b>:","Actually, yes. A few dozen folks meet at the shelter across the street and people spend time helping puppies.",2,"P","P"
1,"single_generic_trial","From very bad to very good, how good is it to have the underlined property?",0.41,"are senseless.","are","city drivers","<br><b>Speaker #1</b>: Have you thought about biking to work instead?  <br><b>Speaker #2</b>:","I would, but city drivers are senseless.",1,"N","P"
2,"single_generic_trial","From very bad to very good, how good is it to have the underlined property?",1,"spend time helping puppies.","spend","people","<br><b>Speaker #1</b>: Does anything interesting happen around you on weekends? <br><b>Speaker #2</b>:","Actually, yes. A few dozen folks meet at the shelter across the street and people spend time helping puppies.",2,"P","P"
2,"single_generic_trial","From very bad to very good, how good is it to have the underlined property?",0.12,"are senseless.","are","city drivers","<br><b>Speaker #1</b>: Have you thought about biking to work instead?  <br><b>Speaker #2</b>:","I would, but city drivers are senseless.",1,"N","P"
3,"single_generic_trial","From very bad to very good, how good is it to have the underlined property?",0.17,"are senseless.","are","city drivers","<br><b>Speaker #1</b>: Have you thought about biking to work instead?  <br><b>Speaker #2</b>:","I would, but city drivers are senseless.",1,"N","P"
3,"single_generic_trial","From very bad to very good, how good is it to have the underlined property?",0.97,"spend time helping puppies.","spend","people","<br><b>Speaker #1</b>: Does anything interesting happen around you on weekends? <br><b>Speaker #2</b>:","Actually, yes. A few dozen folks meet at the shelter across the street and people spend time helping puppies.",2,"P","P"
4,"single_generic_trial","From very bad to very good, how good is it to have the underlined property?",0.24,"are senseless.","are","city drivers","<br><b>Speaker #1</b>: Have you thought about biking to work instead?  <br><b>Speaker #2</b>:","I would, but city drivers are senseless.",1,"N","P"
4,"single_generic_trial","From very bad to very good, how good is it to have the underlined property?",0.77,"spend time helping puppies.","spend","people","<br><b>Speaker #1</b>: Does anything interesting happen around you on weekends? <br><b>Speaker #2</b>:","Actually, yes. A few dozen folks meet at the shelter across the street and people spend time helping puppies.",2,"P","P"
5,"single_generic_trial","From very bad to very good, how good is it to have the underlined property?",0.79,"spend time helping puppies.","spend","people","<br><b>Speaker #1</b>: Does anything interesting happen around you on weekends? <br><b>Speaker #2</b>:","Actually, yes. A few dozen folks meet at the shelter across the street and people spend time helping puppies.",2,"P","P"
