"workerid","trial_type","question","verb.phrase","entire.sentence","specific","noun.phrase","response","tgrep.id","order"
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are around the house a whole lot more than girls","and little boys are around the house a whole lot more than girls.","","little boys","General","116994:8",1
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are real high maintenances","well, dogs are real high maintenances,","","dogs","General","59934:9",1
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are to easy   to get ","quorums are to easy   to get .","","quorums","General","174222:4",1
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","get so worn down","and nurses get so worn down.","nurses for the elderly","nurses","Specific","159568:6",1
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are notorious","i mean, school buses are notorious.","","school buses","General","8185:16",1
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are expensive though","lessons are expensive though.","golf lessons","lessons","Specific","142183:4",1
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are just as much of a blessing inside these material things","but kids are just as much of a blessing inside these material things","","kids","General","47743:6",1
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","have  to be convinced  of that","but men have  to be convinced  of that.","","men","General","28363:6",1
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are out","kids are out.","","kids","General","123596:4",1
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are fun","babies are fun,","","babies","General","112537:4",1
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are probably the most fickle people in the world","uh, football fans are probably the most fickle people in the world.","","football fans","General","137655:11",1
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","aren&quotechart nearly as frequent","women aren&quotechart nearly as frequent,","women that belong to the church of jesus christ of latter day saints","women","Specific","684:4",1
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are kind of a problem","i mean winters are kind of a problem","","winters","General","67262:12",1
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","aren&quotechart parents any more","parents aren&quotechart parents any more.","","parents","General","36123:4",1
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are really high","deductibles are really high,","","deductibles","General","163:4",1
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","don&quotechart require mechanics","diesels don&quotechart require mechanics,","","diesels","General","57573:4",1
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are good all the time","but cats are good all the time.","","cats","General","171:6",1
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","get maternity leave and stuff like that","but, you know, women get maternity leave and stuff like that","","women","General","131139:18",1
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are okay","uh, uh, blues are okay.","","blues","General","148447:14",1
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are awful here","cockroaches are awful here.","","cockroaches","General","1725:4",1
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","learn at different rates","kids learn at different rates","","kids","General","53689:4",1
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are such a strange configuration anymore","families are such a strange configuration anymore.","","families","General","7279:4",1
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are quite different  there in terms of that","and things are quite different  there in terms of that.","","things","General","157:6",1
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","cost a lot more","well, things cost a lot more.","","things","General","176:9",1
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are crippled","that way husbands are crippled,","","husbands","General","9738:9",1
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","aren&quotechart exactly professional","well jeans aren&quotechart exactly professional","","jeans","General","41619:7",1
