workerid,trial_type,question,verb phrase,entire sentence,specific,order:,noun phrase,tgrep id,response
0,single_generic_trial,"In the underlined statement, what group of people is the speaker talking about?",are really concerned,"but, people are really concerned,",recycle,0,people,11134:8,People who
0,single_generic_trial,"In the underlined statement, what group of people is the speaker talking about?",have little cubicles,"and, and people have little cubicles.",have no privacy,0,people,5957:2,People who
0,single_generic_trial,"In the underlined statement, what group of people is the speaker talking about?",seem  to get into different aspects,i mean people seem  to get into different aspects.,travel,0,people,6712:12,"People, when they"
0,single_generic_trial,"In the underlined statement, what group of people is the speaker talking about?",lie,"you know, people lie,",are facing consequences,0,people,14418:14,"People, when they"
0,single_generic_trial,"In the underlined statement, what group of people is the speaker talking about?",say that,"i mean people say that,",talk about the death penalty,0,people,158267:12,"People, when they"
0,single_generic_trial,"In the underlined statement, what group of people is the speaker talking about?",don&quotechart do anything,and people don&quotechart do anything.,witness a crime,0,people,116469:6,"People, when they"
0,single_generic_trial,"In the underlined statement, what group of people is the speaker talking about?",call in,"and, and, and people call in",want to talk to the movie critic,0,people,733:34,People who
0,single_generic_trial,"In the underlined statement, what group of people is the speaker talking about?",are trapped  economically,"but, of course, people are trapped  economically",grow up poor,0,people,24791:16,People who
0,single_generic_trial,"In the underlined statement, what group of people is the speaker talking about?",don&quotechart want  to believe that,and people don&quotechart want  to believe that.,have a gun,0,people,428:6,"People, when they"
0,single_generic_trial,"In the underlined statement, what group of people is the speaker talking about?",get up in the morning in that neighborhood,people get up in the morning in that neighborhood,live near the factory,0,people,11872:4,People who
0,single_generic_trial,"In the underlined statement, what group of people is the speaker talking about?",do seem  to travel more,people do seem  to travel more.,travel,0,people,75242:4,People who
0,single_generic_trial,"In the underlined statement, what group of people is the speaker talking about?","are, real sports conscious","people are, real sports conscious and really get involved with their kids, sports activities and,",have kids in sports,0,people,141184:4,"People, when they"
0,single_generic_trial,"In the underlined statement, what group of people is the speaker talking about?","use fed ex, all the time","and nowadays people use fed ex, all the time.",send packages,0,people,75236:9,People who
0,single_generic_trial,"In the underlined statement, what group of people is the speaker talking about?",don&quotechart have room for that kind of stuff,you know people don&quotechart have room for that kind of stuff.,don&quotechart want more stuff,0,people,23379:12,"People, when they"
0,single_generic_trial,"In the underlined statement, what group of people is the speaker talking about?",are just totally unfeeling,people are just totally unfeeling.,aren&quotechart worried,0,people,22414:4,People who
0,single_generic_trial,"In the underlined statement, what group of people is the speaker talking about?","go, what&quotechars this stuff ","if it does, people go, what&quotechars this stuff .",see snow,0,people,137933:16,"People, when they"
0,single_generic_trial,"In the underlined statement, what group of people is the speaker talking about?",talk about that area,i&quotecharve heard so many people talk about that area.,live in north carolina,0,so many people,76838:19,People who
0,single_generic_trial,"In the underlined statement, what group of people is the speaker talking about?",are crazy,people are crazy.,do crazy stuff,0,people,1415:4,"People, when they"
0,single_generic_trial,"In the underlined statement, what group of people is the speaker talking about?",find ways around,"you know, people find ways around.",smuggle stuff into prison,0,people,13451:14,"People, when they"
0,single_generic_trial,"In the underlined statement, what group of people is the speaker talking about?",think of computers,"or as far as that goes, you know, people think of computers, they think of i b m a lot of times.",think about computers,0,people,618:35,"People, when they"
0,single_generic_trial,"In the underlined statement, what group of people is the speaker talking about?",run in the park,"and, uh, people run in the park,",exercise at night,0,people,22387:13,People who
