Item_ID	Noun	NP	Verb	VP	BarePlural	Sentence	Context
142183:4	lessons	lessons	are	are expensive though	lessons	lessons are expensive though.	###speakerb44.###yeah.###speakera45.###but i###speakerb46.###oh well that sounds like fun too.###speakera47.###but my golf clubs will probably rust before i get *-1 to use them again###because my boys are still right at the beginning age###and it is probably going *-1 to be six to eight years before they go to college.###speakerb48.###uh-huh.###well, you need *-1 to, uh, teach them how * to play *t*-2 and take them out on the course with you.###speakera49.###that's right.
105019:8	things	things	change	change	things	so things change, i guess 0 *t*-1.	###it wasn't like the newer ones that *t*-1 have nice chambers that *t*-2 keep it afloat or keep it, uh, upright again.###this one you had *-1 to work with *t*-2.###you get out of the water again and get it upright.###and, uh, sailing was, was kind of nice###*-1 to learn the maneuvers you had * to make *-1 to work your way down a lake or work back up against the, the wind, as it were, *-2 tacking back and forth###and, uh, more than once we'd get out there on a really stormy day###and, uh, the storm or the wind was due to the front blowing###and as soon as the front came over, it was calm.###so you're out in the middle of nowhere with a paddle###and you paddle your way back in and hope 0 it doesn't start *-1 raining on you right away.###and that didn't always work.###we oftentimes got wet,.###but, uh, it's, it's a nice, nice hobby 0 * to have *t*-1.###nowadays i don't think 0 i could afford the boat or the time,###nor do we live that close to a lake anymore,
10710:6	cats	cats	are	are good all the time	cats	but cats are good all the time.	###speakerb154.###oh, goodness.###you get so attached to them.###speakera155.###oh definitely.###speakerb156.###my mother has dogs###and i'm like, no.###speakera157.###yeah.###speakerb158.###this is nothing like cats.###speakera159.###you can walk a dog###and that's okay for weekend
67262:12	winters	winters	are	are kind of a problem	winters	i mean winters are kind of a problem	###in fact a lot of people will ride outside in the snow.###they've got a, uh, mountain bike, you know, with the big knobby tires.###speakera104.###speakerb105.###speakera106.###yeah.###speakerb107.###and, i don't do that.### i basically, i, i pretty much lay off for the winter.###uh, i was thinking of *-1 getting rollers for the last winter, you know, because it will help your balance when you're indoor training *t*-2.###speakera108.###um.###speakerb109.###uh, but i just, you know, more or less stocked, like an exercise bike and that kind of thing., uh,###but, yeah,
131139:18	women	women	get	get maternity leave and stuff like that	women	but, you know, women get maternity leave and stuff like that	### i, and especially, i think 0 *t*-3 with women increasingly working, they're going *-1 to have *-2 to demand more from men.###speakerb22.###speakera23.###speakerb24.###uh-huh.###speakera25.###because there is just, i-, impossible * to keep up on everything else.###speakerb26.###yeah,###yeah.###speakera27.###have more of an active role in * taking care of children, more of an active role in * taking care of the home.###speakerb28.###well, you know, they've been talking about###and i don't know, uh, what the status *ich*-1 is *t*-2 on it,
112537:4	babies	babies	are	are fun	babies	babies are fun,	###speakera57.###you've got the little bitty ones.###speakerb58.###uh-huh.###speakera59.###those are the, probably the bestes-, the best group 0 * to have *t*-1.###speakerb60.### they're, you know, they're wonderful.###they don't complain too much.###speakera61.###and they're fun.###speakerb62.###yes.###they are a lot of fun.###speakera63.
53689:4	kids	kids	learn	learn at different rates	kids	kids learn at different rates	###speakera121.###good * talking to you, michelle.###speakerb122.###all right.###bye-bye.###speakera123.###bye-bye.###speakera1.###okay.###speakerb2.###the public school systems, well everybody's kno-, has known 0 they've needed renovation for years, but never really had a clear direction on which way *-1 to go *t*-2 with it.###speakera3.###uh-huh.###speakerb4.###the first direction that i can see, or i wish, i would love *-1 to see them go with *t*-2.
170600:9	things	things	cost	cost a lot more	things	well, things cost a lot more.	###i mean, there were five of us###and i don't recall, you know, *-1 wanting anything in particular.###uh, but i don't know how my father did it *t*-1.###he worked at a truck line###and he just didn't make that kind of money with five children.###but we did okay.###we had a house and a home and,###but now, my wife and i both work###and we don't, i don't believe 0 we have as much as my parents did###and we only have one child.###speakera60.###really?###speakerb61.###uh-huh.###speakera62.
59934:9	dogs	dogs	are	are real high maintenances	dogs	well, dogs are real high maintenances,	###uh-huh.###speakera17.###um, but we, um, we house sat for a, um, my, um, my wife's boss a couple weeks ago###and, um, uh, he has a dog and everything,### we were, you know, we were sitting the dog and everything###and, uh, i felt like just miserable all weekend###and it really didn't dawn on me until sunday,###it was like, hey, maybe you're still allergic to the dog.###it was like, oh, that could be it.###speakerb18.###the thing *ich*-2 0 i don't like *t*-1 about dogs sometimes is that the house will just reek, of the dogs, and constantly.###speakera19.###yeah.###speakerb20.###speakera21.
1057:6	things	things	are	are quite different *ich*-1 there in terms of that	things	and things are quite different *ich*-1 there in terms of that.	###so, maybe that is a, a little bit of what privacy is *t*-1.###speakera69.###yes.###exactly.###speakerb70.###speakera71.###uh-huh.###i also thought about it, was of, uh, *-1 waiting *-2 to talk to you that, another thing that *t*-4 occurred to me is 0 there is not so much invasion of my privacy because i know how *-5 to behave *t*-6 such that there isn't *?*.###but i realized 0 i have *-1 to behave in a certain way in order *-2 to not have people invade my privacy.###if i deviate from social norms of behavior, if i run up and down the street *-1 yelling or something, someone's going *-2 to invade my privacy very quickly.###speakerb72.###uh-huh.###speakera73.###and i realize that that, i mean, i can take that for granted###but i used *-1 to, i used *-2 to live in india
