workerid,trial_type,question,focus,verb phrase,verb,noun phrase,context,entire sentence,tgrep id,correct,right_side
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the part in <span style=&quotecharcolor:blue; font-size:20px&quotechar><strong>blue</strong></span>.",0,are friendly.,are,Dogs,<br><b>Speaker #1</b>: What animals are friendly? <br><b>Speaker #2</b>:,Dogs are friendly.,5,NP,VP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the part in <span style=&quotecharcolor:blue; font-size:20px&quotechar><strong>blue</strong></span>.",1,are friendly.,are,Dogs,<br><b>Speaker #1</b>: What are dogs like? <br><b>Speaker #2</b>:,Dogs are friendly.,15,VP,VP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the part in <span style=&quotecharcolor:blue; font-size:20px&quotechar><strong>blue</strong></span>.",0,fly.,fly,Ducks,<br><b>Speaker #1</b>: What animal flies? <br><b>Speaker #2</b>:,Ducks fly.,6,NP,VP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the part in <span style=&quotecharcolor:blue; font-size:20px&quotechar><strong>blue</strong></span>.",1,give birth to live young.,give,Whales,<br><b>Speaker #1</b>: How do whales reproduce? <br><b>Speaker #2</b>:,Whales give birth to live young.,20,VP,VP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the part in <span style=&quotecharcolor:blue; font-size:20px&quotechar><strong>blue</strong></span>.",0,bite people.,bite,Mosquitos,<br><b>Speaker #1</b>: What bites people? <br><b>Speaker #2</b>:,Mosquitos bite people.,9,NP,VP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the part in <span style=&quotecharcolor:blue; font-size:20px&quotechar><strong>blue</strong></span>.",0,are white.,are,Swans,<br><b>Speaker #1</b>: What color are swans? <br><b>Speaker #2</b>:,Swans are white.,18,VP,VP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the part in <span style=&quotecharcolor:blue; font-size:20px&quotechar><strong>blue</strong></span>.",0,build dams.,build,Beavers,<br><b>Speaker #1</b>: What animal builds dams?  <br><b>Speaker #2</b>:,Beavers build dams.,4,NP,VP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the part in <span style=&quotecharcolor:blue; font-size:20px&quotechar><strong>blue</strong></span>.",0,carry Lyme disease.,carry,Ticks,<br><b>Speaker #1</b>: What carries Lyme disease? <br><b>Speaker #2</b>:,Ticks carry Lyme disease.,1,NP,VP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the part in <span style=&quotecharcolor:blue; font-size:20px&quotechar><strong>blue</strong></span>.",0,have manes.,have,Lions,<br><b>Speaker #1</b>: What animal has a mane? <br><b>Speaker #2</b>:,Lions have manes.,2,NP,VP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the part in <span style=&quotecharcolor:blue; font-size:20px&quotechar><strong>blue</strong></span>.",0,lay eggs.,lay,Birds,<br><b>Speaker #1</b>: What animal lays eggs? <br><b>Speaker #2</b>:,Birds lay eggs.,7,NP,VP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the part in <span style=&quotecharcolor:blue; font-size:20px&quotechar><strong>blue</strong></span>.",0,are white.,are,Swans,<br><b>Speaker #1</b>: What animal is white? <br><b>Speaker #2</b>:,Swans are white.,8,NP,VP
0,single_generic_trial,"In the underlined statement, what do you think the speaker meant? Read the options aloud, with emphasis on the part in <span style=&quotecharcolor:blue; font-size:20px&quotechar><strong>blue</strong></span>.",1,fly.,fly,Ducks,<br><b>Speaker #1</b>: How do ducks move around? <br><b>Speaker #2</b>:,Ducks fly.,16,VP,VP
