workerid,trial_type,question,verb phrase,entire sentence,specific,noun phrase,response,tgrep id,order
0,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",are real high maintenances,"well, dogs are real high maintenances,",,dogs,General,59934:9,2
0,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","use fed ex, all the time","and nowadays people use fed ex, all the time.",,people,General,75236:9,2
0,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",are crazy,people are crazy.,,people,General,1415:4,2
0,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",aren&quotechart parents any more,parents aren&quotechart parents any more.,,parents,General,36123:4,2
0,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",do happen severely a few times a year,"and things do happen severely a few times a year,",,things,General,139264:6,2
0,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",are kind of a problem,i mean winters are kind of a problem,,winters,General,67262:12,2
0,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",say that,"i mean people say that,",,people,General,158267:12,2
0,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",seem  to be always in the mood,"but, dogs seem  to be always in the mood.",,dogs,General,61455:8,2
0,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",are good all the time,but cats are good all the time.,,cats,General,171:6,2
0,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",don&quotechart tend  to knock,"people don&quotechart tend  to knock,",,people,General,175:4,2
0,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",cost a lot more,"well, things cost a lot more.",,things,General,176:9,2
0,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",know that,and technical people know that.,,technical people,General,9996:8,2
0,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",are trapped  economically,"but, of course, people are trapped  economically",,people,General,24791:16,2
0,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",want all of that,"but, uh people want all of that",,people,General,166244:11,2
0,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",have  to be convinced  of that,but men have  to be convinced  of that.,,men,General,28363:6,2
0,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",are so messy,uh. rollers are so messy.,,rollers,General,142815:9,2
0,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","come down  to supervise or, whatever","and, uh, you know, parents come down  to supervise or, whatever.",,parents,General,97451:23,2
0,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",don&quotechart require mechanics,"diesels don&quotechart require mechanics,",,diesels,General,57573:4,2
0,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",are crippled,"that way husbands are crippled,",,husbands,General,9738:9,2
0,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",help  create that,"well, lawyers help  create that.",,lawyers,General,27281:9,2
0,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",are notorious,"i mean, school buses are notorious.",,school buses,General,8185:16,2
0,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",don&quotechart stay afloat that long,"especially in the kind of engineering job  i&quotecharm in , you know, companies don&quotechart stay afloat that long,",,companies,General,1679:53,2
0,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",are darling,"well, rabbits are darling.",,rabbits,General,149639:9,2
0,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",are just as much of a blessing inside these material things,but kids are just as much of a blessing inside these material things,,kids,General,47743:6,2
0,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",are probably the most fickle people in the world,"uh, football fans are probably the most fickle people in the world.",,football fans,General,137655:11,2
0,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",are really concerned,"but, people are really concerned,",,people,General,11134:8,2
0,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",are a large volume of annual trash,and phone books are a large volume of annual trash.,phone books,phone books,Specific,16679:8,2
0,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",aren&quotechart none too shallow these days anyway,and interest rates aren&quotechart none too shallow these days anyway.,,interest rates,General,113118:8,2
0,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",are okay,"uh, uh, blues are okay.",,blues,General,148447:14,2
0,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",don&quotechart pay for groceries and stuff,and loans don&quotechart pay for groceries and stuff.,,loans,General,5958:6,2
1,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",aren&quotechart parents any more,parents aren&quotechart parents any more.,,parents,General,36123:4,1
1,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",aren&quotechart none too shallow these days anyway,and interest rates aren&quotechart none too shallow these days anyway.,,interest rates,General,113118:8,1
1,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",are really concerned,"but, people are really concerned,",,people,General,11134:8,1
1,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",are probably the most fickle people in the world,"uh, football fans are probably the most fickle people in the world.",,football fans,General,137655:11,1
1,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",are trapped  economically,"but, of course, people are trapped  economically",,people,General,24791:16,1
1,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",are crippled,"that way husbands are crippled,",,husbands,General,9738:9,1
1,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","use fed ex, all the time","and nowadays people use fed ex, all the time.",,people,General,75236:9,1
1,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",are real high maintenances,"well, dogs are real high maintenances,",,dogs,General,59934:9,1
1,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",are notorious,"i mean, school buses are notorious.",,school buses,General,8185:16,1
1,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",say that,"i mean people say that,",,people,General,158267:12,1
1,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",help  create that,"well, lawyers help  create that.",,lawyers,General,27281:9,1
1,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",are so messy,uh. rollers are so messy.,,rollers,General,142815:9,1
1,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",cost a lot more,"well, things cost a lot more.",,things,General,176:9,1
1,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",are crazy,people are crazy.,people who chase with weapons,people,Specific,1415:4,1
1,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",have  to be convinced  of that,but men have  to be convinced  of that.,men who haven&quotechart learned about the world yet,men,Specific,28363:6,1
1,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",know that,and technical people know that.,,technical people,General,9996:8,1
1,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",are just as much of a blessing inside these material things,but kids are just as much of a blessing inside these material things,kids inside these material things,kids,Specific,47743:6,1
1,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",don&quotechart stay afloat that long,"especially in the kind of engineering job  i&quotecharm in , you know, companies don&quotechart stay afloat that long,",startups,companies,Specific,1679:53,1
1,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",seem  to be always in the mood,"but, dogs seem  to be always in the mood.",,dogs,General,61455:8,1
1,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",are a large volume of annual trash,and phone books are a large volume of annual trash.,,phone books,General,16679:8,1
1,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",don&quotechart require mechanics,"diesels don&quotechart require mechanics,",,diesels,General,57573:4,1
1,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",are good all the time,but cats are good all the time.,,cats,General,171:6,1
1,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",are darling,"well, rabbits are darling.",,rabbits,General,149639:9,1
1,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",do happen severely a few times a year,"and things do happen severely a few times a year,",weather events,things,Specific,139264:6,1
1,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",want all of that,"but, uh people want all of that",,people,General,166244:11,1
1,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","come down  to supervise or, whatever","and, uh, you know, parents come down  to supervise or, whatever.",helicopter parents,parents,Specific,97451:23,1
1,single_generic_trial,"In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?",are okay,"uh, uh, blues are okay.",,blues,General,148447:14,1
