workerid,rt,trial_type,tgrep_id,trialNum,verb phrase,entire sentence,VP,verb,noun phrase,context,NP,freq,tgrep id,e1,e3,e2
0,NA,single_generic_trial,NA,NA,don&quotechart require mechanics,"diesels don&quotechart require mechanics,",NA,do,diesels,"###and you couldn&quotechart sell the thi-,###i mean, though for what you could get  for one, you might as well drive it over a cliff.###speakera29.###oh, yeah.###yeah.###speakerb3.###and, uh, the injector pump went bad###so i found a outfit down here   to rebuild it. and, uh, i-, reinstalled that###speakera31.###speakerb32.###and that was probably one of the most miserable things  i had gotten into  in a long time.###speakera33.###i don&quotechart think  i&quotechard know where  to start  with a diesel.###speakerb34.###oh, well, it, you know, i-,",NA,NA,57573:04:00,external combustion,4 cylinder,internal combustion
0,NA,single_generic_trial,NA,NA,seem  to be always in the mood,"but, dogs seem  to be always in the mood.",NA,seem,dogs,"###so, you know, i never really had them around me, you know,###so i&quotecharve never owned one, you know, since i,###speakerb114.###well, they&quotecharre really a lot different than dogs because they&quotecharre not, they&quotecharre very independent,###and they&quotecharre very, he&quotechars very affectionate when he wants  to be  ,###but if you want him to be  and he doesn&quotechart want  to be , he&quotecharll just, he&quotecharll, you know either scratch you or run away.###speakera115.###huh.###speakerb116.###but when he wants  to be  , uh, he&quotechars really affectionate.###he likes  to lay next to you and have you scratch his head and, and, and snuggle up to you,### and, but if he&quotechars not in the mood, you&quotechard better  stay away from him.###speakera117.###huh.###speakerb118.",NA,NA,61455:08:00,cat,bunny,lizard
0,NA,single_generic_trial,NA,NA,are so messy,uh. rollers are so messy.,NA,are,rollers,"###it was like over two hundred dollars worth of free stuff.###speakera115.###oh, my word.###speakerb116.###speakera117.###oh, my word.###well, he really saved in that way.###speakerb118.###yeah.###speakera119.###but, yeah,###i think  we are going  to do, uh, another bathroom,###but i think  i will probably just do it, in a roller.###i want  to do it  about the same color. and just be a little,###speakerb12.",NA,NA,142815:09:00,brush,sponge,tape
0,NA,single_generic_trial,NA,NA,are good all the time,but cats are good all the time.,NA,are,cats,"###speakerb154.###oh, goodness.###you get so attached to them.###speakera155.###oh definitely.###speakerb156.###my mother has dogs###and i&quotecharm like, no.###speakera157.###yeah.###speakerb158.###this is nothing like cats.###speakera159.###you can walk a dog###and that&quotechars okay for weekend",NA,NA,171:06:00,dog,bunny,lizard
0,NA,single_generic_trial,NA,NA,have  to be convinced  of that,but men have  to be convinced  of that.,NA,have,men,"###yeah,###well, she&quotechars usually in bed by this time,###but she&quotechars staying up late tonight.###but,###yeah,###i want  to have a relationship with her.###you know, my dad was a very traditional dad,###and when i was a child  i didn&quotechart really know my dad very well,###and i miss that.###and i want,###speakera158.###that&quotechars the thing,### if woman&quotechars role, like we said, if women&quotechars roles change drastically, men&quotechars roles will,  too.###speakerb159.###yeah,",NA,NA,28363:06:00,women,fishermen,children
0,NA,single_generic_trial,NA,NA,are just as much of a blessing inside these material things,but kids are just as much of a blessing inside these material things,NA,are,kids,"###he just works a normal job.###he probably has an income of thirty-five thousand,###but last year he made mumblex###that got him a bonus of twenty-five thousand which  allowed him to pay cash for a full size van.###speakerb122.###speakera123.###he loves god,###i mean, it was the biggest thing that any one in this company had ever done ,###speakerb124.###wow.###speakera125.###and he got  to do it###and so god just really blesses him in ways like that,### do trust god because, i don&quotechart know, kids are a blessing### and, and some people mumblex you know, we think of blessings as nice furniture and things like that,",NA,NA,47743:06:00,adults,elderly,teens
0,NA,single_generic_trial,NA,NA,help  create that,"well, lawyers help  create that.",NA,help,lawyers,"###speakerb148.###speakera149.### i mean, i, i mean teachers are so afraid  now of  even saying something, to students because they&quotecharre going get, they&quotecharre going  to get complaints or they&quotecharre going  to get sued  or something.###speakerb15.###uh-huh.###speakera151.###speakerb152.###it&quotechars like doctors in lawsuits,###speakera153.###oh yeah.###speakerb154.###you know, they&quotecharre kind of fearful of, everything.###speakera155.###speakerb156.###speakera157.",NA,NA,27281:09:00,doctors,mechanics,farmers
0,NA,single_generic_trial,NA,NA,are a large volume of annual trash,and phone books are a large volume of annual trash.,NA,are,phone books,"###yeah.###speakerb16.###speakera17.### th-, there definitely has  to be a motivation factor###and i know that, at w-, where i work ,###i work for a defense contractor.###and there&quotechars a big push on for  recycling, uh, paper materials, you know, computer output paper and also  to decrease the amount of, uh, styrofoam usage because of the, uh, the process involved in styrofoam and, and the whole eco issue and that.### and, and they&quotecharre very proactive###and, uh, matter of fact, they give you discounts if you use, uh, china wear rather than, uh, styrofoam stuff,### so. so, i-, i-, it&quotechars incentives like that that  get people people more conscious of it.###i think  that&quotechars, that&quotechars what they need  to do .  be more proactive like that.###speakerb18.###uh, i know, uh, i believe  it was last year that they actually collected the old phone books .### uh, usually have them come from mumblex you know, projects  to collect old ones.### usually just get dumped  out with the trash.",NA,NA,16679:08:00,wrappers,paper towels,bottles
0,NA,single_generic_trial,NA,NA,aren&quotechart none too shallow these days anyway,and interest rates aren&quotechart none too shallow these days anyway.,NA,are,interest rates,"###speakerb17.###speakera18.###d-,###yeah,### i, i made a rule  with myself when i got one  that if i couldn&quotechart pay it in full every month that i&quotechard have  to rip it up,###so.###speakerb19.###yeah.###speakera2.###speakerb21.###that&quotechars a good idea.### stops all them interest rates,###speakera22.###that&quotechars,###speakerb23.",NA,NA,113118:08:00,overdraft,operating,origination
0,NA,single_generic_trial,NA,NA,aren&quotechart parents any more,parents aren&quotechart parents any more.,NA,are,parents,"###i know.###speakerb12.###for what.###speakera121.###i know.###speakerb122.### give me the money###and i&quotecharll, i&quotecharll teach them something good.###speakera123.###well, you know, you know  why they do it  is so they can get them out of the house.###speakerb124.###yeah.###speakera125.###yeah,###uh, that&quotechars my other complaint.",NA,NA,36123:04:00,children,aunts,uncles
