workerid,rt,trial_type,trial_num,entire_sentence,tgrep_id,verb_phrase,verb,context,noun_phrase,response
0,67569,comparison_class_elicitation,1,parents aren&quotechart parents any more.,36123:04:00,aren&quotechart parents any more,are,"###i know.###speakerb12.###for what.###speakera121.###i know.###speakerb122.### give me the money###and i&quotecharll, i&quotecharll teach them something good.###speakera123.###well, you know, you know  why they do it  is so they can get them out of the house.###speakerb124.###yeah.###speakera125.###yeah,###uh, that&quotechars my other complaint.",parents,teachersgrandparents clergy
0,80201,comparison_class_elicitation,1,parents aren&quotechart parents any more.,36123:04:00,aren&quotechart parents any more,are,"###i know.###speakerb12.###for what.###speakera121.###i know.###speakerb122.### give me the money###and i&quotecharll, i&quotecharll teach them something good.###speakera123.###well, you know, you know  why they do it  is so they can get them out of the house.###speakerb124.###yeah.###speakera125.###yeah,###uh, that&quotechars my other complaint.",parents,grandparents
0,83936,comparison_class_elicitation,1,parents aren&quotechart parents any more.,36123:04:00,aren&quotechart parents any more,are,"###i know.###speakerb12.###for what.###speakera121.###i know.###speakerb122.### give me the money###and i&quotecharll, i&quotecharll teach them something good.###speakera123.###well, you know, you know  why they do it  is so they can get them out of the house.###speakerb124.###yeah.###speakera125.###yeah,###uh, that&quotechars my other complaint.",parents,clergy
0,8360,comparison_class_elicitation,2,"uh, uh, blues are okay.",148447:14:00,are okay,are,"###speakerb44.###oh, yeah?###speakera45.###so, uh, that&quotechars where my two, my two listening enjoyments are ,###but, you know, jazz can get on my nerves after a while.###uh, you can&quotechart just listen to it, you know, to, uh, especially a lot of the deeper stuff,###you just can&quotechart listen to it for enjoyment unless you&quotecharre. yeah, unless, unless you&quotecharre playing it,###speakerb46.###it&quotechars too, um, uh,###you have  to concentrate on it, it seems  .###speakera47.### it just, it just doesn&quotechart do anything.###speakerb48.###what about the blues or something like that?###speakera49.",blues,Rock
0,10034,comparison_class_elicitation,2,"uh, uh, blues are okay.",148447:14:00,are okay,are,"###speakerb44.###oh, yeah?###speakera45.###so, uh, that&quotechars where my two, my two listening enjoyments are ,###but, you know, jazz can get on my nerves after a while.###uh, you can&quotechart just listen to it, you know, to, uh, especially a lot of the deeper stuff,###you just can&quotechart listen to it for enjoyment unless you&quotecharre. yeah, unless, unless you&quotecharre playing it,###speakerb46.###it&quotechars too, um, uh,###you have  to concentrate on it, it seems  .###speakera47.### it just, it just doesn&quotechart do anything.###speakerb48.###what about the blues or something like that?###speakera49.",blues,Pop
0,12363,comparison_class_elicitation,2,"uh, uh, blues are okay.",148447:14:00,are okay,are,"###speakerb44.###oh, yeah?###speakera45.###so, uh, that&quotechars where my two, my two listening enjoyments are ,###but, you know, jazz can get on my nerves after a while.###uh, you can&quotechart just listen to it, you know, to, uh, especially a lot of the deeper stuff,###you just can&quotechart listen to it for enjoyment unless you&quotecharre. yeah, unless, unless you&quotecharre playing it,###speakerb46.###it&quotechars too, um, uh,###you have  to concentrate on it, it seems  .###speakera47.### it just, it just doesn&quotechart do anything.###speakerb48.###what about the blues or something like that?###speakera49.",blues,Country
0,9617,comparison_class_elicitation,3,"but, dogs seem  to be always in the mood.",61455:08:00,seem  to be always in the mood,seem,"###so, you know, i never really had them around me, you know,###so i&quotecharve never owned one, you know, since i,###speakerb114.###well, they&quotecharre really a lot different than dogs because they&quotecharre not, they&quotecharre very independent,###and they&quotecharre very, he&quotechars very affectionate when he wants  to be  ,###but if you want him to be  and he doesn&quotechart want  to be , he&quotecharll just, he&quotecharll, you know either scratch you or run away.###speakera115.###huh.###speakerb116.###but when he wants  to be  , uh, he&quotechars really affectionate.###he likes  to lay next to you and have you scratch his head and, and, and snuggle up to you,### and, but if he&quotechars not in the mood, you&quotechard better  stay away from him.###speakera117.###huh.###speakerb118.",dogs,cats
0,12948,comparison_class_elicitation,3,"but, dogs seem  to be always in the mood.",61455:08:00,seem  to be always in the mood,seem,"###so, you know, i never really had them around me, you know,###so i&quotecharve never owned one, you know, since i,###speakerb114.###well, they&quotecharre really a lot different than dogs because they&quotecharre not, they&quotecharre very independent,###and they&quotecharre very, he&quotechars very affectionate when he wants  to be  ,###but if you want him to be  and he doesn&quotechart want  to be , he&quotecharll just, he&quotecharll, you know either scratch you or run away.###speakera115.###huh.###speakerb116.###but when he wants  to be  , uh, he&quotechars really affectionate.###he likes  to lay next to you and have you scratch his head and, and, and snuggle up to you,### and, but if he&quotechars not in the mood, you&quotechard better  stay away from him.###speakera117.###huh.###speakerb118.",dogs,rabbits
0,15314,comparison_class_elicitation,3,"but, dogs seem  to be always in the mood.",61455:08:00,seem  to be always in the mood,seem,"###so, you know, i never really had them around me, you know,###so i&quotecharve never owned one, you know, since i,###speakerb114.###well, they&quotecharre really a lot different than dogs because they&quotecharre not, they&quotecharre very independent,###and they&quotecharre very, he&quotechars very affectionate when he wants  to be  ,###but if you want him to be  and he doesn&quotechart want  to be , he&quotecharll just, he&quotecharll, you know either scratch you or run away.###speakera115.###huh.###speakerb116.###but when he wants  to be  , uh, he&quotechars really affectionate.###he likes  to lay next to you and have you scratch his head and, and, and snuggle up to you,### and, but if he&quotechars not in the mood, you&quotechard better  stay away from him.###speakera117.###huh.###speakerb118.",dogs,birds
0,13528,comparison_class_elicitation,4,"well, dogs are real high maintenances,",59934:09:00,are real high maintenances,are,"###uh-huh.###speakera17.###um, but we, um, we house sat for a, um, my, um, my wife&quotechars boss a couple weeks ago###and, um, uh, he has a dog and everything,### we were, you know, we were sitting the dog and everything###and, uh, i felt like just miserable all weekend###and it really didn&quotechart dawn on me until sunday,###it was like, hey, maybe you&quotecharre still allergic to the dog.###it was like, oh, that could be it.###speakerb18.###the thing   i don&quotechart like  about dogs sometimes is that the house will just reek, of the dogs, and constantly.###speakera19.###yeah.###speakerb2.###speakera21.",dogs,fish
