"workerid","trial_type","agreement","question","entire.sentence","choice","verb","noun.phrase","context","verb.phrase","tgrep.id","right_side"
0,"single_causality_trial",0.52,"Is there something about <b>people</b> that causes them to have the <u>underlined</u> property?","but, of course, people are trapped  economically","Yes","are","people","###yes,###well, yeah###i am .###oh,###speakerb8.###okay.###speakera9.### a-, actually i think that, i, higher level education,###i don&quotechart think  there&quotechars so much of a problem there.###it&quotechars pretty much funded  well.###there are small colleges that i&quotecharm sure   are struggling###but, uh, it&quotechars the job that the, the high school and the grade schools are doing  that i see, in a area like ours,###our school,###even a bad school is a good school up here, where, if i lived in new york city or washington, d c, uh, i would seriously consider  moving if i had a child.###i wouldn&quotechart let them go to a public school system there.","are trapped  economically","24791:16","C"
0,"single_causality_trial",0.52,"Does <i>the person who said the statement <font color=""blue"">in blue</font></i> believe that there is something about <b>companies</b> that causes them to have the <u>underlined</u> property?","especially in the kind of engineering job  i&quotecharm in , you know, companies don&quotechart stay afloat that long,","No","do","companies","###my place you get two weeks when you start ###and then every, every year they give you an extra day until you&quotecharve got four weeks.###speakera31.###oh, that&quotechars nice.###we don&quotechart get them till, till your seventh year of service till you get an extra week.###speakerb32.###aye.###speakera33.###speakerb34.###that&quotechars a long time.###speakera35.###yeah,###it&quotechars, uh,###speakerb36.###yeah,","don&quotechart stay afloat that long","1679:53","C"
0,"single_causality_trial",0.52,"Does <i>the person who said the statement <font color=""blue"">in blue</font></i> believe that there is something about <b>interest rates</b> that causes them to have the <u>underlined</u> property?","and interest rates aren&quotechart none too shallow these days anyway.","No","are","interest rates","###speakerb17.###speakera18.###d-,###yeah,### i, i made a rule  with myself when i got one  that if i couldn&quotechart pay it in full every month that i&quotechard have  to rip it up,###so.###speakerb19.###yeah.###speakera2.###speakerb21.###that&quotechars a good idea.### stops all them interest rates,###speakera22.###that&quotechars,###speakerb23.","aren&quotechart none too shallow these days anyway","113118:8","C"
0,"single_causality_trial",0.56,"Is there something about <b>technical people</b> that causes them to have the <u>underlined</u> property?","and technical people know that.","Yes","know","technical people","###i&quotecharm not at the col-, the big college park campus, you know,###that&quotechars the big one with the football team.###speakerb82.###yeah.###speakera83.###so i, i think, um, i think  you&quotecharre right, that there&quotechars a lot of, there&quotechars difficult decisions  there based  on name recognition.###um, you know, when i first was applying for graduate schools , i applied to some big programs , you know, in this area, like stevens institute of technology, which  is recognized  in the northeast as, as, you know, one step below m i t in a sense, you know,###speakerb84.###yeah.###speakera85.###so it&quotechars got big name recognition in this area,###a big science school, no football team, but a big science school,###speakerb86.###yeah.###speakera87.","know that","9996:8","C"
0,"single_causality_trial",0.52,"Does <i>the person who said the statement <font color=""blue"">in blue</font></i> believe that there is something about <b>parents</b> that causes them to have the <u>underlined</u> property?","and, uh, you know, parents come down  to supervise or, whatever.","No","come","parents","###speakera133.###speakerb134.###uh-huh,###uh-huh.###speakera135.###we might be able  to exchange that way.###speakerb136.###uh-huh.###speakera137.###and so we will just have  to see how things work out .###but i think  the whole, you know, ideally i think, uh,  business should have the, day care centers there, whether it&quotechars the parents who  take turns  watching the kids, or whether###speakerb138.###i do too.###speakera139.###they hire a couple of people","come down  to supervise or, whatever","97451:23","C"
0,"single_causality_trial",0.52,"Is there something about <b>lawyers</b> that causes them to have the <u>underlined</u> property?","well, lawyers help  create that.","Yes","help","lawyers","###speakerb148.###speakera149.### i mean, i, i mean teachers are so afraid  now of  even saying something, to students because they&quotecharre going get, they&quotecharre going  to get complaints or they&quotecharre going  to get sued  or something.###speakerb15.###uh-huh.###speakera151.###speakerb152.###it&quotechars like doctors in lawsuits,###speakera153.###oh yeah.###speakerb154.###you know, they&quotecharre kind of fearful of, everything.###speakera155.###speakerb156.###speakera157.","help  create that","27281:9","C"
0,"single_causality_trial",0.54,"Does <i>the person who said the statement <font color=""blue"">in blue</font></i> believe that there is something about <b>blues</b> that causes them to have the <u>underlined</u> property?","uh, uh, blues are okay.","No","are","blues","###speakerb44.###oh, yeah?###speakera45.###so, uh, that&quotechars where my two, my two listening enjoyments are ,###but, you know, jazz can get on my nerves after a while.###uh, you can&quotechart just listen to it, you know, to, uh, especially a lot of the deeper stuff,###you just can&quotechart listen to it for enjoyment unless you&quotecharre. yeah, unless, unless you&quotecharre playing it,###speakerb46.###it&quotechars too, um, uh,###you have  to concentrate on it, it seems  .###speakera47.### it just, it just doesn&quotechart do anything.###speakerb48.###what about the blues or something like that?###speakera49.","are okay","148447:14","C"
0,"single_causality_trial",0.51,"Does <i>the person who said the statement <font color=""blue"">in blue</font></i> believe that there is something about <b>loans</b> that causes them to have the <u>underlined</u> property?","and loans don&quotechart pay for groceries and stuff.","No","do","loans","###yeah.###speakera39.###because i work now,###i work full time###and, uh, you know, it,###when you put them through college  it just takes just about everything  you got .###speakerb4.###yeah.###speakera41.###they get loans and grants and scholarships and stuff like that,###that helps out,###but still, it cost a lot.###speakerb42.###oh, yeah,###i mean, just the, you know, the cost of living","don&quotechart pay for groceries and stuff","5958:6","C"
0,"single_causality_trial",0.53,"Is there something about <b>dogs</b> that causes them to have the <u>underlined</u> property?","well, dogs are real high maintenances,","Yes","are","dogs","###uh-huh.###speakera17.###um, but we, um, we house sat for a, um, my, um, my wife&quotechars boss a couple weeks ago###and, um, uh, he has a dog and everything,### we were, you know, we were sitting the dog and everything###and, uh, i felt like just miserable all weekend###and it really didn&quotechart dawn on me until sunday,###it was like, hey, maybe you&quotecharre still allergic to the dog.###it was like, oh, that could be it.###speakerb18.###the thing   i don&quotechart like  about dogs sometimes is that the house will just reek, of the dogs, and constantly.###speakera19.###yeah.###speakerb2.###speakera21.","are real high maintenances","59934:9","C"
0,"single_causality_trial",0.55,"Does <i>the person who said the statement <font color=""blue"">in blue</font></i> believe that there is something about <b>dogs</b> that causes them to have the <u>underlined</u> property?","but, dogs seem  to be always in the mood.","No","seem","dogs","###so, you know, i never really had them around me, you know,###so i&quotecharve never owned one, you know, since i,###speakerb114.###well, they&quotecharre really a lot different than dogs because they&quotecharre not, they&quotecharre very independent,###and they&quotecharre very, he&quotechars very affectionate when he wants  to be  ,###but if you want him to be  and he doesn&quotechart want  to be , he&quotecharll just, he&quotecharll, you know either scratch you or run away.###speakera115.###huh.###speakerb116.###but when he wants  to be  , uh, he&quotechars really affectionate.###he likes  to lay next to you and have you scratch his head and, and, and snuggle up to you,### and, but if he&quotechars not in the mood, you&quotechard better  stay away from him.###speakera117.###huh.###speakerb118.","seem  to be always in the mood","61455:8","C"
0,"single_causality_trial",0.52,"Is there something about <b>people</b> that causes them to have the <u>underlined</u> property?","people are crazy.","Yes","are","people","###and he&quotechars like oh,  thank you so much.###speakera49.###i wonder how many of his lives he missed , when that happened .###speakerb5.###i know,###we wondered about that.###but, uh, oh that was a traumatic experience for us too.###speakera51.###oh, i can imagine,###what did he shoot him with .###speakerb52.###uh, well, uh, from what we can tell  it was a pellet gun###and then he started  chasing him with a bull whip.###speakera53.###oh my gosh.","are crazy","1415:4","C"
0,"single_causality_trial",0.53,"Is there something about <b>phone books</b> that causes them to have the <u>underlined</u> property?","and phone books are a large volume of annual trash.","Yes","are","phone books","###yeah.###speakerb16.###speakera17.### th-, there definitely has  to be a motivation factor###and i know that, at w-, where i work ,###i work for a defense contractor.###and there&quotechars a big push on for  recycling, uh, paper materials, you know, computer output paper and also  to decrease the amount of, uh, styrofoam usage because of the, uh, the process involved in styrofoam and, and the whole eco issue and that.### and, and they&quotecharre very proactive###and, uh, matter of fact, they give you discounts if you use, uh, china wear rather than, uh, styrofoam stuff,### so. so, i-, i-, it&quotechars incentives like that that  get people people more conscious of it.###i think  that&quotechars, that&quotechars what they need  to do .  be more proactive like that.###speakerb18.###uh, i know, uh, i believe  it was last year that they actually collected the old phone books .### uh, usually have them come from mumblex you know, projects  to collect old ones.### usually just get dumped  out with the trash.","are a large volume of annual trash","16679:8","C"
0,"single_causality_trial",0.5,"Does <i>the person who said the statement <font color=""blue"">in blue</font></i> believe that there is something about <b>things</b> that causes them to have the <u>underlined</u> property?","and things do happen severely a few times a year,","No","do","things","###well, it&quotechars based  here,###uh, the international headquarters for wycliff bible translators is right here in, in dallas.###speakerb93.###so you&quotecharre, you&quotecharre with the home office now.###speakera94.###yeah,###right now i am .###that&quotechars what  brought me here,###yeah.###speakerb95.###well, the, uh, i think, uh,  all in all there are a lot worse climates than dallas, uh,###the weather you know, does change fast###speakera96.###yeah.###speakerb97.","do happen severely a few times a year","139264:6","C"
0,"single_causality_trial",0.52,"Is there something about <b>things</b> that causes them to have the <u>underlined</u> property?","well, things cost a lot more.","Yes","cost","things","###i mean, there were five of us###and i don&quotechart recall, you know,  wanting anything in particular.###uh, but i don&quotechart know how my father did it .###he worked at a truck line###and he just didn&quotechart make that kind of money with five children.###but we did okay.###we had a house and a home and,###but now, my wife and i both work###and we don&quotechart, i don&quotechart believe  we have as much as my parents did###and we only have one child.###speakera6.###really?###speakerb61.###uh-huh.###speakera62.","cost a lot more","176:9","C"
0,"single_causality_trial",0.54,"Does <i>the person who said the statement <font color=""blue"">in blue</font></i> believe that there is something about <b>rabbits</b> that causes them to have the <u>underlined</u> property?","well, rabbits are darling.","No","are","rabbits","###speakera65.###oh, my word.###speakerb66.###uh,.###speakera67.###and do they, they just paper train it or something?###speakerb68.###i guess.###speakera69.###speakerb7.###i guess,###yeah,###and i would imagine that they don&quotechart have many more than one   to start with , either.###speakera71.###yeah.","are darling","149639:9","C"
0,"single_causality_trial",0.52,"Is there something about <b>husbands</b> that causes them to have the <u>underlined</u> property?","that way husbands are crippled,","Yes","are","husbands","###that&quotechars a part of the problem that women have always had ###and that is  accepting responsibility for things that  really are other people&quotechars responsibilities.###speakera171.###that&quotechars very true.###speakerb172.### they, they,###speakera173.###and then that way, we have not changed in, hundreds of years, have we .###speakerb174.###speakera175.###speakerb176.###that&quotechars right.###speakera177.###yeah.###speakerb178.","are crippled","9738:9","C"
0,"single_causality_trial",0.52,"Does <i>the person who said the statement <font color=""blue"">in blue</font></i> believe that there is something about <b>people</b> that causes them to have the <u>underlined</u> property?","people don&quotechart tend  to knock,","No","do","people","###certainly the language  i know  doesn&quotechart, but just says a word for loneliness.###speakerb74.###oh, that&quotechars interesting.###speakera75.###loneliness  is the closest  you can come , which  is really quite different.###speakerb76.### but, but no concept for  wanting  to be private.###speakera77.###yeah.### it&quotechars, it&quotechars generally   being alone is not a very desirable state, at least officially.###speakerb78.###okay.###speakera79.###um, so there&quotechars not,###i mean, doors don&quotechart have latches on them.","don&quotechart tend  to knock","175:4","C"
0,"single_causality_trial",0.55,"Is there something about <b>people</b> that causes them to have the <u>underlined</u> property?","but, people are really concerned,","Yes","are","people","###and i started  doing that at work.###um, i put out a, a trash can and, and  for people to put their aluminum cans in ,###speakera27.###uh-huh.###speakerb28.###and that&quotechars really helped a lot,###i mean, everybody&quotechars pitched in###and, you know, it exp doesn&quotechart bother them  to walk little bit farther put their aluminum in a can rather than  just throwing it in their trash can.###speakera29.###yeah.###speakerb3.###speakera31.###yeah.###speakerb32.###so, i really, i really like that,","are really concerned","11134:8","C"
0,"single_causality_trial",0.54,"Does <i>the person who said the statement <font color=""blue"">in blue</font></i> believe that there is something about <b>people</b> that causes them to have the <u>underlined</u> property?","but, uh people want all of that","No","want","people","###speakerb58.###uh-huh.###speakera59.###speakerb6.###okay.###speakera61.###so.###i mean i have met people that, uh, both that, that  just want  to maintain a, the standard of living and those that, that  really need the job.###speakerb62.###okay.###and then, sometimes i, i often, uh, find that maybe there&quotechars so many different things available to us. yo-, a microwave, a v c r, a answering machine a, you know, a special, a dishwasher, uh, a refrigerator and some of those items, um, for the, for the, uh,###speakera63.###uh-huh.###speakerb64.###well i guess  we&quotecharre sticking more to social changes","want all of that","166244:11","C"
0,"single_causality_trial",0.55,"Is there something about <b>kids</b> that causes them to have the <u>underlined</u> property?","but kids are just as much of a blessing inside these material things","Yes","are","kids","###he just works a normal job.###he probably has an income of thirty-five thousand,###but last year he made mumblex###that got him a bonus of twenty-five thousand which  allowed him to pay cash for a full size van.###speakerb122.###speakera123.###he loves god,###i mean, it was the biggest thing that any one in this company had ever done ,###speakerb124.###wow.###speakera125.###and he got  to do it###and so god just really blesses him in ways like that,### do trust god because, i don&quotechart know, kids are a blessing### and, and some people mumblex you know, we think of blessings as nice furniture and things like that,","are just as much of a blessing inside these material things","47743:6","C"
0,"single_causality_trial",0.57,"Does <i>the person who said the statement <font color=""blue"">in blue</font></i> believe that there is something about <b>school buses</b> that causes them to have the <u>underlined</u> property?","i mean, school buses are notorious.","No","are","school buses","###well,###speakera71.###speakerb72.###supposedly that&quotechars supposed  to catch it.###but i&quotecharll tell you what,###and even these buses, oh lord, it real bad.###these buses in raleigh,###speakera73.###yeah,###school buses and the commercial buses,###speakerb74.###oh, yeah.###speakera75.###yeah.###speakerb76.","are notorious","8185:16","C"
