"workerid","trial_type","agreement","question","entire.sentence","choice","verb","noun.phrase","context","verb.phrase","tgrep.id","correct"
0,"single_causality_catch",0.63,"Is there something about <b>babies</b> that causes them to have the <u>underlined</u> property?","Well, babies usually just babble.","Yes","babble","babies","<br><b>Speaker #1</b>: Our 3-month old is pretty quiet. She doesn&quotechart say much yet.  <br><b>Speaker #2</b>:","usually just babble.",1,"C"
0,"single_causality_catch",0.4,"Is there something about <b>packages</b> that causes them to have the <u>underlined</u> property?","No, but packages get lost in the mail.","Yes","get","packages","<br><b>Speaker #1</b>: You didn&quotechart get my card? <br><b>Speaker #2</b>:","get lost in the mail.",2,"I"
1,"single_causality_catch",0.17,"Is there something about <b>packages</b> that causes them to have the <u>underlined</u> property?","No, but packages get lost in the mail.","Yes","get","packages","<br><b>Speaker #1</b>: You didn&quotechart get my card? <br><b>Speaker #2</b>:","get lost in the mail.",2,"I"
1,"single_causality_catch",0.68,"Is there something about <b>babies</b> that causes them to have the <u>underlined</u> property?","Well, babies usually just babble.","Yes","babble","babies","<br><b>Speaker #1</b>: Our 3-month old is pretty quiet. She doesn&quotechart say much yet.  <br><b>Speaker #2</b>:","usually just babble.",1,"C"
2,"single_causality_catch",1,"Is there something about <b>babies</b> that causes them to have the <u>underlined</u> property?","Well, babies usually just babble.","Yes","babble","babies","<br><b>Speaker #1</b>: Our 3-month old is pretty quiet. She doesn&quotechart say much yet.  <br><b>Speaker #2</b>:","usually just babble.",1,"C"
2,"single_causality_catch",0,"Is there something about <b>packages</b> that causes them to have the <u>underlined</u> property?","No, but packages get lost in the mail.","Yes","get","packages","<br><b>Speaker #1</b>: You didn&quotechart get my card? <br><b>Speaker #2</b>:","get lost in the mail.",2,"I"
3,"single_causality_catch",0.71,"Is there something about <b>babies</b> that causes them to have the <u>underlined</u> property?","Well, babies usually just babble.","Yes","babble","babies","<br><b>Speaker #1</b>: Our 3-month old is pretty quiet. She doesn&quotechart say much yet.  <br><b>Speaker #2</b>:","usually just babble.",1,"C"
3,"single_causality_catch",0.11,"Is there something about <b>packages</b> that causes them to have the <u>underlined</u> property?","No, but packages get lost in the mail.","Yes","get","packages","<br><b>Speaker #1</b>: You didn&quotechart get my card? <br><b>Speaker #2</b>:","get lost in the mail.",2,"I"
4,"single_causality_catch",0.72,"Is there something about <b>babies</b> that causes them to have the <u>underlined</u> property?","Well, babies usually just babble.","Yes","babble","babies","<br><b>Speaker #1</b>: Our 3-month old is pretty quiet. She doesn&quotechart say much yet.  <br><b>Speaker #2</b>:","usually just babble.",1,"C"
4,"single_causality_catch",0.24,"Is there something about <b>packages</b> that causes them to have the <u>underlined</u> property?","No, but packages get lost in the mail.","Yes","get","packages","<br><b>Speaker #1</b>: You didn&quotechart get my card? <br><b>Speaker #2</b>:","get lost in the mail.",2,"I"
