"workerid","trial_type","question","verb.phrase","entire.sentence","specific","noun.phrase","tgrep.id","response"
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","do seem  to travel more","people do seem  to travel more.","","people","75242:4","Americans"
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","know that","and technical people know that.","","technical people","9996:8","Humans in general"
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","find ways around","you know, people find ways around.","","people","13451:14","Americans"
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are, real sports conscious","people are, real sports conscious and really get involved with their kids, sports activities and,","","people","141184:4","Americans"
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","don&quotechart want  to take responsibility","people don&quotechart want  to take responsibility.","","people","174356:4","Americans"
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","say that","i mean people say that,","","people","158267:12","Americans"
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","talk about that area","i&quotecharve heard so many people talk about that area.","","so many people","76838:19","People in the area"
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","have little cubicles","and, and people have little cubicles.","","people","5957:2","People in the area"
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","seem  to get into different aspects","i mean people seem  to get into different aspects.","","people","6712:12","Americans"
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","don&quotechart want  to believe that","and people don&quotechart want  to believe that.","","people","428:6","Americans"
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","do","i mean, people do,","","people","6276:14","People in the area"
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","run in the park","and, uh, people run in the park,","","people","22387:13","People in the area"
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","make mistakes","hey, people make mistakes.","","people","4811:9","Americans"
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","get up in the morning in that neighborhood","people get up in the morning in that neighborhood","","people","11872:4","People in the area"
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","lie","you know, people lie,","","people","14418:14","Americans"
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","don&quotechart do anything","and people don&quotechart do anything.","","people","116469:6","Humans in general"
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","don&quotechart tend  to knock","people don&quotechart tend  to knock,","","people","175:4","Americans"
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","go, what&quotechars this stuff ","if it does, people go, what&quotechars this stuff .","","people","137933:16","People in the area"
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","don&quotechart have room for that kind of stuff","you know people don&quotechart have room for that kind of stuff.","","people","23379:12","Americans"
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","want all of that","but, uh people want all of that","","people","166244:11","Americans"
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","get very upset","i mean, in other words if the government denies you driving, denies you a driver&quotechars license, people get very upset.","","people","5727:7","Americans"
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are really concerned","but, people are really concerned,","","people","11134:8","People in the area"
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are crazy","people are crazy.","","people","1415:4","Americans"
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are just totally unfeeling","people are just totally unfeeling.","","people","22414:4","Americans"
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","are trapped  economically","but, of course, people are trapped  economically","","people","24791:16","People in the area"
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","use fed ex, all the time","and nowadays people use fed ex, all the time.","","people","75236:9","Americans"
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","call in","and, and, and people call in","","people","733:34","People in the area"
0,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","think of computers","or as far as that goes, you know, people think of computers, they think of i b m a lot of times.","","people","618:35","Americans"
1,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","think of computers","or as far as that goes, you know, people think of computers, they think of i b m a lot of times.","","people","618:35","Americans"
1,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","call in","and, and, and people call in","","people","733:34","Americans"
1,"single_generic_trial","In the underlined statement, is the speaker talking about [noun phrase] in general or some specific group/kind of [noun phrase]?","run in the park","and, uh, people run in the park,","","people","22387:13","People in the area"
