"workerid","trial_type","agreement","question","entire.sentence","choice","verb","noun.phrase","context","verb.phrase","tgrep.id","right_side"
0,"single_causality_trial",0.85,"Is there something about <b>stocks</b> that causes them to have the <u>underlined</u> property?","stocks have a place in an investors&quotechar portfolio along with real estate, bonds, international securities and cash, he says.","Yes","have","stocks","###the longer the time period, the less risk there is of losing money in the stock market.###over time, the odds increasingly favor the investor with a diversified portfolio.###for instance, ken gregory, a san francisco money manager, calculates that if an investor holds a basket of stocks that tracks the standard& poor&quotechars 5-stock index, the chance of losing money is 3% to 4% over a 1-year period, compared with 15% over three years and 3% over one year.###"" if you don&quotechart need the money for 1 years, there&quotechars a clear-cut case for sticking to a steady core of stocks,"" mr. gregory says.###stock-market investments also help - balance the other assets an individual owns, says john blankenship jr., president of the institute of certified financial planners.
","have a place in an investors&quotechar portfolio along with real estate, bonds, international securities and cash","43641:5:","C"
0,"single_causality_trial",0.78,"Is there something about <b>flights</b> that causes them to have the <u>underlined</u> property?","flights are"" missions.""","Yes","are","flights","###depending on the outcome, the merged company may face union elections ich this fall among airplane mechanics, ramp workers, stock clerks and flight dispatchers.###these groups constitute up to 1% of its work force.###""unions would have a profound effect on the whole culture of the company,"" says bernard la londe, a professor at ohio state university at columbus and a federal consultant.###that culture, carefully crafted by mr. smith, leaves little, if any, room for unions.###since - founding the company, the charismatic vietnam vet, who is still only 46 years old, has fostered an ethos of combat.
","are"" missions","26916:4:","C"
0,"single_causality_trial",0.7,"Is there something about <b>put options</b> that causes them to have the <u>underlined</u> property?","put options give holders the right, but not the obligation, to sell a financial instrument at a specified price, while call options give holders the right, but not the obligation, to buy a financial instrument at a specified price.","Yes","give","put options","###the company dispatched as many as 2 people in the san francisco area to do the work, though most of the rerouting was done - by computer.###service appeared - to be down throughout the financial district in downtown san francisco, while just parts of oakland and san jose were knocked - out.###but dale irvine, director of the emergency center, saidservice was being restored - to outlying san francisco areas.###in chicago yesterday, options clearing confirmed that it guarantees the pacific exchange options.###the firm also will permit its members and the public ""to exercise their put and call options contracts traded on the pacific exchange"" even if the exchange is closed, said wayne luthringshausen, chairman of options clearing.
","give holders the right, but not the obligation, to sell a financial instrument at a specified price, while call options give holders the right, but not the obligation, to buy a financial instrument at a specified price","3713:8:","C"
0,"single_causality_trial",0.39,"Is there something about <b>talk show hosts</b> that causes them to have the <u>underlined</u> property?","talk show hosts quickly change the topic.","Yes","change","talk show hosts","### to make matters worse, the lone nomination came from another bureaucrat: a woman from the new york state department of taxation and finance who nominated her boss.###mr. lesko, who is making the rules as he goes, has determined that bureaucrats are eligible for nomination by other bureaucrats.###but he sayshe would prefer - to get nominations from rank-and-file folks.###he admits that he hasn&quotechart had much luck generating free publicity for his contest.###newspapers, including this one, have generally ignored his news releases.
","quickly change the topic","27195:8:","C"
0,"single_causality_trial",0.71,"Is there something about <b>imports</b> that causes them to have the <u>underlined</u> property?","generally, imports appeal most to americans who live in the west and are well-educated, affluent and, especially, young.","Yes","appeal","imports","###adults under age 3 like sports cars, luxury cars, convertibles and imports far more than their elders do.###three of every 1 buyers under 3 would prefer - to buy a sports car, compared with just 16% of adults 3 and over, according to the journal survey.###young consumers prefer luxury cars by a 37% to 28% margin --- even though older buyers, because of their incomes, are more likely - to actually purchase a luxury car.###perhaps most striking, 35% of households headed by people aged 18 to 44 have at least one foreign car.###that&quotechars true of only 14% of households headed by someone 6 or older.
","appeal most to americans who live in the west and are well-educated, affluent and, especially, young","26565:9:","C"
0,"single_causality_trial",0.93,"Does <i>the person who said/wrote the statement <font color=""blue"">in blue</font></i> believe that there is something about <b>such tests</b> that causes them to have the <u>underlined</u> property?","under the best circumstances such tests are subjective; when a patient is unconscious, they don&quotechart work at all.","No","are","such tests","###the probe, which is painless, non-invasive and apparently harmless, employs strong magnetic fields - to induce small whirlwinds of electricity within the brain.###if - positioned over the brain&quotechars motor-control area, the hand-held electromagnets generate nerve impulses that zip down motor nerves and activate muscles, making, say, a finger twitch.###in principle, they will enable doctors to check the body&quotechars motor system the wayan electrician tests a home&quotechars electrical circuits by - running current through them.### until now, we&quotecharve had no objective way of measuring motor function,"" says keith chiappa, a neurologist conducting clinical tests with the devices at boston&quotechars massachusetts general hospital.###"" allwe could do was tell a patient, ` squeeze my fingers as hard as you can?&quotechar or ` raise your arm.&quotechar
","are subjective","5849:19:","C"
0,"single_causality_trial",0.82,"Does <i>the person who said/wrote the statement <font color=""blue"">in blue</font></i> believe that there is something about <b>irish companies</b> that causes them to have the <u>underlined</u> property?","moreover, he says, irish companies are small but spunky.","No","are","irish companies","### unlikely as it may seem, tiny, politically neutral ireland has penetrated the mighty soviet airline bureaucracy.###and as aeroflot struggles - to boost its service standards, upgrade its fleet and pursue commercial opportunities, the irish aviation industry seems poised - to benefit.###"" irish and soviet people are similar,"" says mr. ovcharenko.###"" they look the same.###they&quotecharre very friendly.""
","are small but spunky","43156:27:","C"
0,"single_causality_trial",0.37,"Does <i>the person who said/wrote the statement <font color=""blue"">in blue</font></i> believe that there is something about <b>fund managers</b> that causes them to have the <u>underlined</u> property?","fund managers don&quotechart like - to have rights issues that don&quotechart have an obvious reason.","No","do","fund managers","###the united kingdom carrier had planned the issue - to help finance its $75 million purchase of a 15% stake in ual.###but british airways withdrew from the ual labor-management buy-out plan last friday, after the group failed - to get bank financing for its $6.79 billion buy-out.###british airways saidits shareholders accepted only 6.3% of the convertible capital bonds, but that the rest of the issue will be taken - up by underwriters.###analysts said that 6.3% level marked the poorest showing for any major british rights issue since the 1987 global stock market crash.### it is close to - being a record undersubscription,"" said bob bucknell, an analyst with london broker smith new court securities.
","don&quotechart like - to have rights issues that don&quotechart have an obvious reason","23319:8:","C"
0,"single_causality_trial",0.25,"Is there something about <b>japanese banks</b> that causes them to have the <u>underlined</u> property?","japanese banks are under"" political pressure"" as well, the analyst saidt.","Yes","are","japanese banks","###all week there has been much speculation in financial circles in tokyo and abroad about the ministry&quotechars real position.###bank analysts sayministry officials have been growing increasingly concerned during the past few months about japanese banks getting in over their heads.###"" the ministry thinksthe banks don&quotechart know what they are doing, that they have very little idea how to cope with risk,"" said one foreign bank analyst who asked - not to be identified -.###"" the ministry wants - to see the japanese banks pull in their horns"" on leveraged buy-outs, he added.###although some of the japanese banks involved in the first proposed bid for ual bowed out because they found the terms unattractive, observers here say they have a hard time - believing that commercial considerations were the only reason.
","are under"" political pressure"" as well","2752:7:","C"
0,"single_causality_trial",0.3,"Is there something about <b>art indexes</b> that causes them to have the <u>underlined</u> property?","art indexes track winners, not losers.","Yes","track","art indexes","###art prices are skyrocketing, but a good deal of legerdemain is involved - in compiling statistics on sales.###salomon brothers inc., the investment-banking firm, in its annual tally of investment returns, reported that old masters appreciated 51% in the year ended june 1, the greatest return of any of 13 assets it tracked t.###impressionist and modern paintings, not tracked by salomon, are ranked - even higher at 74% by sotheby&quotechars. --rrb-###salomon, moreover, gets its data on art appreciation from sotheby&quotechars, whose prices go up with clients like mr. paul in its thrall.###the percentages omit from consideration the many paintings that go - begging at auction.
","track winners, not losers","4262:6:","C"
