"workerid","trial_type","agreement","question","entire.sentence","choice","verb","noun.phrase","context","verb.phrase","tgrep.id","correct"
0,"single_causality_catch",0.11,"Is there something about <b>packages</b> that causes them to have the <u>underlined</u> property?","No, but packages get lost in the mail.","Yes","get","packages","<br><b>Speaker #1</b>: You didn&quotechart get my card? <br><b>Speaker #2</b>:","get lost in the mail.",2,"I"
0,"single_causality_catch",0.84,"Is there something about <b>babies</b> that causes them to have the <u>underlined</u> property?","Well, babies usually just babble.","Yes","babble","babies","<br><b>Speaker #1</b>: Our 3-month old is pretty quiet. She doesn&quotechart say much yet.  <br><b>Speaker #2</b>:","usually just babble.",1,"C"
1,"single_causality_catch",0.87,"Is there something about <b>babies</b> that causes them to have the <u>underlined</u> property?","Well, babies usually just babble.","Yes","babble","babies","<br><b>Speaker #1</b>: Our 3-month old is pretty quiet. She doesn&quotechart say much yet.  <br><b>Speaker #2</b>:","usually just babble.",1,"C"
1,"single_causality_catch",0.14,"Is there something about <b>packages</b> that causes them to have the <u>underlined</u> property?","No, but packages get lost in the mail.","Yes","get","packages","<br><b>Speaker #1</b>: You didn&quotechart get my card? <br><b>Speaker #2</b>:","get lost in the mail.",2,"I"
2,"single_causality_catch",0.49,"Is there something about <b>packages</b> that causes them to have the <u>underlined</u> property?","No, but packages get lost in the mail.","Yes","get","packages","<br><b>Speaker #1</b>: You didn&quotechart get my card? <br><b>Speaker #2</b>:","get lost in the mail.",2,"I"
2,"single_causality_catch",0.68,"Is there something about <b>babies</b> that causes them to have the <u>underlined</u> property?","Well, babies usually just babble.","Yes","babble","babies","<br><b>Speaker #1</b>: Our 3-month old is pretty quiet. She doesn&quotechart say much yet.  <br><b>Speaker #2</b>:","usually just babble.",1,"C"
3,"single_causality_catch",0,"Is there something about <b>packages</b> that causes them to have the <u>underlined</u> property?","No, but packages get lost in the mail.","Yes","get","packages","<br><b>Speaker #1</b>: You didn&quotechart get my card? <br><b>Speaker #2</b>:","get lost in the mail.",2,"I"
3,"single_causality_catch",0.99,"Is there something about <b>babies</b> that causes them to have the <u>underlined</u> property?","Well, babies usually just babble.","Yes","babble","babies","<br><b>Speaker #1</b>: Our 3-month old is pretty quiet. She doesn&quotechart say much yet.  <br><b>Speaker #2</b>:","usually just babble.",1,"C"
4,"single_causality_catch",1,"Is there something about <b>babies</b> that causes them to have the <u>underlined</u> property?","Well, babies usually just babble.","Yes","babble","babies","<br><b>Speaker #1</b>: Our 3-month old is pretty quiet. She doesn&quotechart say much yet.  <br><b>Speaker #2</b>:","usually just babble.",1,"C"
4,"single_causality_catch",0.18,"Is there something about <b>packages</b> that causes them to have the <u>underlined</u> property?","No, but packages get lost in the mail.","Yes","get","packages","<br><b>Speaker #1</b>: You didn&quotechart get my card? <br><b>Speaker #2</b>:","get lost in the mail.",2,"I"
5,"single_causality_catch",0.67,"Is there something about <b>babies</b> that causes them to have the <u>underlined</u> property?","Well, babies usually just babble.","Yes","babble","babies","<br><b>Speaker #1</b>: Our 3-month old is pretty quiet. She doesn&quotechart say much yet.  <br><b>Speaker #2</b>:","usually just babble.",1,"C"
5,"single_causality_catch",0.25,"Is there something about <b>packages</b> that causes them to have the <u>underlined</u> property?","No, but packages get lost in the mail.","Yes","get","packages","<br><b>Speaker #1</b>: You didn&quotechart get my card? <br><b>Speaker #2</b>:","get lost in the mail.",2,"I"
6,"single_causality_catch",0.01,"Is there something about <b>packages</b> that causes them to have the <u>underlined</u> property?","No, but packages get lost in the mail.","Yes","get","packages","<br><b>Speaker #1</b>: You didn&quotechart get my card? <br><b>Speaker #2</b>:","get lost in the mail.",2,"I"
6,"single_causality_catch",0.83,"Is there something about <b>babies</b> that causes them to have the <u>underlined</u> property?","Well, babies usually just babble.","Yes","babble","babies","<br><b>Speaker #1</b>: Our 3-month old is pretty quiet. She doesn&quotechart say much yet.  <br><b>Speaker #2</b>:","usually just babble.",1,"C"
7,"single_causality_catch",0.87,"Is there something about <b>babies</b> that causes them to have the <u>underlined</u> property?","Well, babies usually just babble.","Yes","babble","babies","<br><b>Speaker #1</b>: Our 3-month old is pretty quiet. She doesn&quotechart say much yet.  <br><b>Speaker #2</b>:","usually just babble.",1,"C"
7,"single_causality_catch",0.4,"Is there something about <b>packages</b> that causes them to have the <u>underlined</u> property?","No, but packages get lost in the mail.","Yes","get","packages","<br><b>Speaker #1</b>: You didn&quotechart get my card? <br><b>Speaker #2</b>:","get lost in the mail.",2,"I"
8,"single_causality_catch",1,"Is there something about <b>babies</b> that causes them to have the <u>underlined</u> property?","Well, babies usually just babble.","Yes","babble","babies","<br><b>Speaker #1</b>: Our 3-month old is pretty quiet. She doesn&quotechart say much yet.  <br><b>Speaker #2</b>:","usually just babble.",1,"C"
8,"single_causality_catch",0.14,"Is there something about <b>packages</b> that causes them to have the <u>underlined</u> property?","No, but packages get lost in the mail.","Yes","get","packages","<br><b>Speaker #1</b>: You didn&quotechart get my card? <br><b>Speaker #2</b>:","get lost in the mail.",2,"I"
9,"single_causality_catch",1,"Is there something about <b>babies</b> that causes them to have the <u>underlined</u> property?","Well, babies usually just babble.","Yes","babble","babies","<br><b>Speaker #1</b>: Our 3-month old is pretty quiet. She doesn&quotechart say much yet.  <br><b>Speaker #2</b>:","usually just babble.",1,"C"
9,"single_causality_catch",0,"Is there something about <b>packages</b> that causes them to have the <u>underlined</u> property?","No, but packages get lost in the mail.","Yes","get","packages","<br><b>Speaker #1</b>: You didn&quotechart get my card? <br><b>Speaker #2</b>:","get lost in the mail.",2,"I"
10,"single_causality_catch",0.19,"Is there something about <b>packages</b> that causes them to have the <u>underlined</u> property?","No, but packages get lost in the mail.","Yes","get","packages","<br><b>Speaker #1</b>: You didn&quotechart get my card? <br><b>Speaker #2</b>:","get lost in the mail.",2,"I"
10,"single_causality_catch",0.8,"Is there something about <b>babies</b> that causes them to have the <u>underlined</u> property?","Well, babies usually just babble.","Yes","babble","babies","<br><b>Speaker #1</b>: Our 3-month old is pretty quiet. She doesn&quotechart say much yet.  <br><b>Speaker #2</b>:","usually just babble.",1,"C"
11,"single_causality_catch",0.85,"Is there something about <b>babies</b> that causes them to have the <u>underlined</u> property?","Well, babies usually just babble.","Yes","babble","babies","<br><b>Speaker #1</b>: Our 3-month old is pretty quiet. She doesn&quotechart say much yet.  <br><b>Speaker #2</b>:","usually just babble.",1,"C"
11,"single_causality_catch",0.02,"Is there something about <b>packages</b> that causes them to have the <u>underlined</u> property?","No, but packages get lost in the mail.","Yes","get","packages","<br><b>Speaker #1</b>: You didn&quotechart get my card? <br><b>Speaker #2</b>:","get lost in the mail.",2,"I"
12,"single_causality_catch",0.24,"Is there something about <b>packages</b> that causes them to have the <u>underlined</u> property?","No, but packages get lost in the mail.","Yes","get","packages","<br><b>Speaker #1</b>: You didn&quotechart get my card? <br><b>Speaker #2</b>:","get lost in the mail.",2,"I"
12,"single_causality_catch",0.75,"Is there something about <b>babies</b> that causes them to have the <u>underlined</u> property?","Well, babies usually just babble.","Yes","babble","babies","<br><b>Speaker #1</b>: Our 3-month old is pretty quiet. She doesn&quotechart say much yet.  <br><b>Speaker #2</b>:","usually just babble.",1,"C"
13,"single_causality_catch",0.27,"Is there something about <b>packages</b> that causes them to have the <u>underlined</u> property?","No, but packages get lost in the mail.","Yes","get","packages","<br><b>Speaker #1</b>: You didn&quotechart get my card? <br><b>Speaker #2</b>:","get lost in the mail.",2,"I"
13,"single_causality_catch",0.86,"Is there something about <b>babies</b> that causes them to have the <u>underlined</u> property?","Well, babies usually just babble.","Yes","babble","babies","<br><b>Speaker #1</b>: Our 3-month old is pretty quiet. She doesn&quotechart say much yet.  <br><b>Speaker #2</b>:","usually just babble.",1,"C"
14,"single_causality_catch",0.05,"Is there something about <b>packages</b> that causes them to have the <u>underlined</u> property?","No, but packages get lost in the mail.","Yes","get","packages","<br><b>Speaker #1</b>: You didn&quotechart get my card? <br><b>Speaker #2</b>:","get lost in the mail.",2,"I"
14,"single_causality_catch",0.84,"Is there something about <b>babies</b> that causes them to have the <u>underlined</u> property?","Well, babies usually just babble.","Yes","babble","babies","<br><b>Speaker #1</b>: Our 3-month old is pretty quiet. She doesn&quotechart say much yet.  <br><b>Speaker #2</b>:","usually just babble.",1,"C"
15,"single_causality_catch",0.54,"Is there something about <b>babies</b> that causes them to have the <u>underlined</u> property?","Well, babies usually just babble.","Yes","babble","babies","<br><b>Speaker #1</b>: Our 3-month old is pretty quiet. She doesn&quotechart say much yet.  <br><b>Speaker #2</b>:","usually just babble.",1,"C"
15,"single_causality_catch",0.33,"Is there something about <b>packages</b> that causes them to have the <u>underlined</u> property?","No, but packages get lost in the mail.","Yes","get","packages","<br><b>Speaker #1</b>: You didn&quotechart get my card? <br><b>Speaker #2</b>:","get lost in the mail.",2,"I"
16,"single_causality_catch",0.04,"Is there something about <b>packages</b> that causes them to have the <u>underlined</u> property?","No, but packages get lost in the mail.","Yes","get","packages","<br><b>Speaker #1</b>: You didn&quotechart get my card? <br><b>Speaker #2</b>:","get lost in the mail.",2,"I"
16,"single_causality_catch",0.96,"Is there something about <b>babies</b> that causes them to have the <u>underlined</u> property?","Well, babies usually just babble.","Yes","babble","babies","<br><b>Speaker #1</b>: Our 3-month old is pretty quiet. She doesn&quotechart say much yet.  <br><b>Speaker #2</b>:","usually just babble.",1,"C"
17,"single_causality_catch",0.97,"Is there something about <b>babies</b> that causes them to have the <u>underlined</u> property?","Well, babies usually just babble.","Yes","babble","babies","<br><b>Speaker #1</b>: Our 3-month old is pretty quiet. She doesn&quotechart say much yet.  <br><b>Speaker #2</b>:","usually just babble.",1,"C"
17,"single_causality_catch",0.49,"Is there something about <b>packages</b> that causes them to have the <u>underlined</u> property?","No, but packages get lost in the mail.","Yes","get","packages","<br><b>Speaker #1</b>: You didn&quotechart get my card? <br><b>Speaker #2</b>:","get lost in the mail.",2,"I"
18,"single_causality_catch",0.83,"Is there something about <b>babies</b> that causes them to have the <u>underlined</u> property?","Well, babies usually just babble.","Yes","babble","babies","<br><b>Speaker #1</b>: Our 3-month old is pretty quiet. She doesn&quotechart say much yet.  <br><b>Speaker #2</b>:","usually just babble.",1,"C"
18,"single_causality_catch",0.21,"Is there something about <b>packages</b> that causes them to have the <u>underlined</u> property?","No, but packages get lost in the mail.","Yes","get","packages","<br><b>Speaker #1</b>: You didn&quotechart get my card? <br><b>Speaker #2</b>:","get lost in the mail.",2,"I"
19,"single_causality_catch",0,"Is there something about <b>packages</b> that causes them to have the <u>underlined</u> property?","No, but packages get lost in the mail.","Yes","get","packages","<br><b>Speaker #1</b>: You didn&quotechart get my card? <br><b>Speaker #2</b>:","get lost in the mail.",2,"I"
19,"single_causality_catch",1,"Is there something about <b>babies</b> that causes them to have the <u>underlined</u> property?","Well, babies usually just babble.","Yes","babble","babies","<br><b>Speaker #1</b>: Our 3-month old is pretty quiet. She doesn&quotechart say much yet.  <br><b>Speaker #2</b>:","usually just babble.",1,"C"
